For Max_steps=2000
Cooling-rate experiment for N=20

Cooling=0.40 | Success=24% | Steps=1596.7 | Cost=1.03
Cooling=0.42 | Success=23% | Steps=1635.4 | Cost=1.06
Cooling=0.44 | Success=26% | Steps=1583.6 | Cost=0.99
Cooling=0.46 | Success=26% | Steps=1584.1 | Cost=0.99
Cooling=0.48 | Success=28% | Steps=1531.9 | Cost=0.96
Cooling=0.50 | Success=29% | Steps=1519.5 | Cost=0.92
Cooling=0.52 | Success=27% | Steps=1555.6 | Cost=0.96
Cooling=0.54 | Success=25% | Steps=1610.0 | Cost=0.99
Cooling=0.56 | Success=24% | Steps=1598.3 | Cost=0.97
Cooling=0.58 | Success=25% | Steps=1584.8 | Cost=0.98
Cooling=0.60 | Success=24% | Steps=1605.3 | Cost=0.98
Cooling=0.62 | Success=28% | Steps=1545.5 | Cost=0.91
Cooling=0.64 | Success=24% | Steps=1599.2 | Cost=1.00
Cooling=0.66 | Success=28% | Steps=1544.2 | Cost=0.95
Cooling=0.68 | Success=27% | Steps=1567.8 | Cost=1.00
Cooling=0.70 | Success=26% | Steps=1573.2 | Cost=0.96
Cooling=0.72 | Success=27% | Steps=1559.7 | Cost=0.95
Cooling=0.74 | Success=25% | Steps=1584.0 | Cost=0.98
Cooling=0.76 | Success=27% | Steps=1558.4 | Cost=0.96
Cooling=0.78 | Success=30% | Steps=1503.4 | Cost=0.89
Cooling=0.80 | Success=32% | Steps=1487.0 | Cost=0.87
Cooling=0.82 | Success=29% | Steps=1515.9 | Cost=0.90
Cooling=0.84 | Success=30% | Steps=1517.0 | Cost=0.91
Cooling=0.86 | Success=28% | Steps=1556.0 | Cost=0.88
Cooling=0.88 | Success=33% | Steps=1474.8 | Cost=0.80
Cooling=0.90 | Success=33% | Steps=1472.8 | Cost=0.76
Cooling=0.92 | Success=35% | Steps=1429.5 | Cost=0.73
Cooling=0.94 | Success=49% | Steps=1215.7 | Cost=0.54
Cooling=0.96 | Success=57% | Steps=1150.8 | Cost=0.45
Cooling=0.98 | Success=78% | Steps=1024.5 | Cost=0.22
Cooling=0.99 | Success=88% | Steps=1229.4 | Cost=0.12
